TIME (UTC),y,x,STATION_NAME,TEMP (degC),STATION_PRESSURE (kPa),RELATIVE_HUMIDITY (%),DEW_POINT_TEMP (degC),WIND_SPEED (km/h),WIND_DIRECTION (deg),RAIN_AMOUNT (mm/hr),SNOW_AMOUNT (mm/hr
2024-01-02 05:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-20.853948917,102.21005388329999,74.363491833,-24.218215833,9.4729758372,296.8457796,,0.0
2024-01-02 06:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-21.016556417,102.1994013,74.12726875,-24.411476083,15.9918451884,302.587274667,,0.0
2024-01-02 07:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-21.373393817,102.2286593667,74.89514655,-24.642824233,16.4978071956,295.069840667,,0.0
2024-01-02 08:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-22.170133433,102.25338155,75.04797515,-25.393642033,15.2545302108,294.996317,,0.0
2024-01-02 09:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-22.209657733,102.25980611669999,75.05011305,-25.4316809,15.969959769599999,292.709777167,,0.0
2024-01-02 10:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-21.401158683,102.28087565,74.996177817,-24.654766983,13.7464942752,286.273856667,,0.0
2024-01-02 11:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-21.528112167,102.27527623329999,74.451658533,-24.859037167,11.1285885456,291.561515507,,0.0
2024-01-02 12:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-22.783999767,102.2689489167,75.30066485,-25.952899467,17.467590607200002,304.656314667,,0.0
2024-01-02 13:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-24.68894775,102.2740689167,75.124194617,-27.82886605,16.3760912928,312.455916333,,0.0
2024-01-02 14:00:00+00:00,69.114233333,-105.058966666,CB_ShoreStation_Lufft,-25.251997267,102.2676656,75.059973117,-28.385169717,15.136958469600001,315.959540167,,0.0
