       0.00000000   0.00000E-07
       0.04165649   0.00000E-07
       0.08334351   0.00000E-07
       0.12500000   0.00000E-07
       0.16665649   0.00000E-07
       0.20834351   0.00000E-07
       0.25000000   0.00000E-07
       0.29165649   0.00000E-07
       0.33334351   0.00000E-07
       0.37500000   0.00000E-07
       0.41665649   0.00000E-07
       0.45834351   0.00000E-07
       0.50000000   0.00000E-07
       0.54165649   0.00000E-07
       0.58334351   0.00000E-07
       0.62500000   0.00000E-07
       0.66665649   0.00000E-07
       0.70834351   0.00000E-07
       0.75000000   0.00000E-07
       0.79165649   0.00000E-07
       0.83334351   0.00000E-07
       0.87500000   0.00000E-07
       0.91665649   0.00000E-07
       0.95834351   0.00000E-07
       1.00000000   0.00000E-07
       1.04165649   0.00000E-07
       1.08334351   0.00000E-07
       1.12500000   0.00000E-07
       1.16665649   0.00000E-07
       1.20834351   0.00000E-07
       1.25000000   0.00000E-07
       1.29165649   0.00000E-07
       1.33334351   0.00000E-07
       1.37500000   0.00000E-07
       1.41665649   0.00000E-07
       1.45834351   0.00000E-07
       1.50000000   0.00000E-07
       1.54165649   0.00000E-07
       1.58334351   0.00000E-07
       1.62500000   0.00000E-07
       1.66665649   0.00000E-07
       1.70834351   0.00000E-07
       1.75000000   0.00000E-07
       1.79165649   0.00000E-07
       1.83334351   0.00000E-07
       1.87500000   0.00000E-07
       1.91665649   0.00000E-07
       1.95834351   0.00000E-07
       2.00000000   0.00000E-07
       2.04165649   0.00000E-07
       2.08334351   0.00000E-07
       2.12500000   0.00000E-07
       2.16665649   0.00000E-07
       2.20834351   0.00000E-07
       2.25000000   0.00000E-07
       2.29165649   0.00000E-07
       2.33334351   0.00000E-07
       2.37500000   0.00000E-07
       2.41665649   0.00000E-07
       2.45834351   0.00000E-07
       2.50000000   0.00000E-07
       2.54165649   0.00000E-07
       2.58334351   0.00000E-07
       2.62500000   0.00000E-07
       2.66665649   0.00000E-07
       2.70834351   0.00000E-07
       2.75000000   0.00000E-07
       2.79165649   0.00000E-07
       2.83334351   0.00000E-07
       2.87500000   0.00000E-07
       2.91665649   0.00000E-07
       2.95834351   0.00000E-07
       3.00000000   0.00000E-07
       3.04165649   0.00000E-07
       3.08334351   0.00000E-07
       3.12500000   0.00000E-07
       3.16665649   0.00000E-07
       3.20834351   0.00000E-07
       3.25000000   0.00000E-07
       3.29165649   0.00000E-07
       3.33334351   0.00000E-07
       3.37500000   0.00000E-07
       3.41665649   0.00000E-07
       3.45834351   0.00000E-07
       3.50000000   0.00000E-07
       3.54165649   0.00000E-07
       3.58334351   0.00000E-07
       3.62500000   0.00000E-07
       3.66665649   0.00000E-07
       3.70834351   0.00000E-07
       3.75000000   0.00000E-07
       3.79165649   0.00000E-07
       3.83334351   0.00000E-07
       3.87500000   0.00000E-07
       3.91665649   0.00000E-07
       3.95834351   0.00000E-07
       4.00000000   0.00000E-07
       4.04165649   0.00000E-07
       4.08334351   0.00000E-07
       4.12500000   0.00000E-07
       4.16665649   0.00000E-07
       4.20834351   0.00000E-07
       4.25000000   0.00000E-07
       4.29165649   0.00000E-07
       4.33334351   0.00000E-07
       4.37500000   0.00000E-07
       4.41665649   0.00000E-07
       4.45834351   0.00000E-07
       4.50000000   0.00000E-07
       4.54165649   0.00000E-07
       4.58334351   0.00000E-07
       4.62500000   0.00000E-07
       4.66665649   0.00000E-07
       4.70834351   0.00000E-07
       4.75000000   0.00000E-07
       4.79165649   0.00000E-07
       4.83334351   0.00000E-07
       4.87500000   0.00000E-07
       4.91665649   0.00000E-07
       4.95834351   0.00000E-07
       5.00000000   0.00000E-07
       5.04165649   0.00000E-07
       5.08334351   0.00000E-07
       5.12500000   0.00000E-07
       5.16665649   0.00000E-07
       5.20834351   0.00000E-07
       5.25000000   0.00000E-07
       5.29165649   0.00000E-07
       5.33334351   0.00000E-07
       5.37500000   0.00000E-07
       5.41665649   0.00000E-07
       5.45834351   0.00000E-07
       5.50000000   0.00000E-07
       5.54165649   0.00000E-07
       5.58334351   0.00000E-07
       5.62500000   0.00000E-07
