2.9500000e+02   1.3248207e-07  -1.0183455e-07
2.9504167e+02   1.3248207e-07  -1.0183455e-07
2.9508333e+02   1.3248207e-07  -1.0183455e-07
2.9512500e+02   1.3248207e-07  -1.0183455e-07
2.9516667e+02   1.3248207e-07  -1.0183455e-07
2.9520833e+02   1.3248207e-07  -1.0183455e-07
2.9525000e+02   1.3248207e-07  -1.0183455e-07
2.9529167e+02   1.3248207e-07  -1.0183455e-07
2.9533333e+02   1.3248207e-07  -1.0183455e-07
2.9537500e+02   1.3248207e-07  -1.0183455e-07
2.9541667e+02   1.3248207e-07  -1.0183455e-07
2.9545833e+02   1.3248207e-07  -1.0183455e-07
2.9550000e+02   1.3248207e-07  -1.0183455e-07
2.9554167e+02   1.3248207e-07  -1.0183455e-07
2.9558333e+02   1.3248207e-07  -1.0183455e-07
2.9562500e+02   1.3248207e-07  -1.0183455e-07
2.9566667e+02   1.3248207e-07  -1.0183455e-07
2.9570833e+02   1.3248207e-07  -1.0183455e-07
2.9575000e+02   1.3248207e-07  -1.0183455e-07
2.9579167e+02   1.3248207e-07  -1.0183455e-07
2.9583333e+02   1.3248207e-07  -1.0183455e-07
2.9587500e+02   1.3248207e-07  -1.0183455e-07
2.9591667e+02   1.3248207e-07  -1.0183455e-07
2.9595833e+02   1.3248207e-07  -1.0183455e-07
2.9600000e+02   1.3248207e-07  -1.0183455e-07
2.9604167e+02   1.3248207e-07  -1.0183455e-07
2.9608333e+02   1.3248207e-07  -1.0183455e-07
2.9612500e+02   1.3248207e-07  -1.0183455e-07
2.9616667e+02   1.3248207e-07  -1.0183455e-07
2.9620833e+02   1.3248207e-07  -1.0183455e-07
2.9625000e+02   1.3248207e-07  -1.0183455e-07
2.9629167e+02   1.3248207e-07  -1.0183455e-07
2.9633333e+02   1.3248207e-07  -1.0183455e-07
2.9637500e+02   1.3248207e-07  -1.0183455e-07
2.9641667e+02   1.3248207e-07  -1.0183455e-07
2.9645833e+02   1.3248207e-07  -1.0183455e-07
2.9650000e+02   1.3248207e-07  -1.0183455e-07
2.9654167e+02   1.3248207e-07  -1.0183455e-07
2.9658333e+02   1.3248207e-07  -1.0183455e-07
2.9662500e+02   1.3248207e-07  -1.0183455e-07
2.9666667e+02   1.3248207e-07  -1.0183455e-07
2.9670833e+02   1.3248207e-07  -1.0183455e-07
2.9675000e+02   1.3248207e-07  -1.0183455e-07
2.9679167e+02   1.3248207e-07  -1.0183455e-07
2.9683333e+02   1.3248207e-07  -1.0183455e-07
2.9687500e+02   1.3248207e-07  -1.0183455e-07
2.9691667e+02   1.3248207e-07  -1.0183455e-07
2.9695833e+02   1.3248207e-07  -1.0183455e-07
2.9700000e+02   1.3248207e-07  -1.0183455e-07
2.9704167e+02   1.3248207e-07  -1.0183455e-07
2.9708333e+02   1.3248207e-07  -1.0183455e-07
2.9712500e+02   1.3248207e-07  -1.0183455e-07
2.9716667e+02   1.3248207e-07  -1.0183455e-07
2.9720833e+02   1.3248207e-07  -1.0183455e-07
2.9725000e+02   1.3248207e-07  -1.0183455e-07
2.9729167e+02   1.3248207e-07  -1.0183455e-07
2.9733333e+02   1.3248207e-07  -1.0183455e-07
2.9737500e+02   1.3248207e-07  -1.0183455e-07
2.9741667e+02   1.3248207e-07  -1.0183455e-07
2.9745833e+02   1.3248207e-07  -1.0183455e-07
2.9750000e+02   1.3248207e-07  -1.0183455e-07
2.9754167e+02   1.3248207e-07  -1.0183455e-07
2.9758333e+02   1.3248207e-07  -1.0183455e-07
2.9762500e+02   1.3248207e-07  -1.0183455e-07
2.9766667e+02   1.3248207e-07  -1.0183455e-07
2.9770833e+02   1.3248207e-07  -1.0183455e-07
2.9775000e+02   1.3248207e-07  -1.0183455e-07
2.9779167e+02   1.3248207e-07  -1.0183455e-07
2.9783333e+02   1.3248207e-07  -1.0183455e-07
2.9787500e+02   1.3248207e-07  -1.0183455e-07
2.9791667e+02   1.3248207e-07  -1.0183455e-07
2.9795833e+02   1.3248207e-07  -1.0183455e-07
